# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.8;      0.0;           ;      -25.01667217;               ;               ;               ;             
         2;      2.7;      0.0;           ;      -25.24923597;    -0.23256379;       442.8222;      5620.1426;     0.038035
         3;      2.8;      0.0;           ;      -25.45204674;    -0.20281077;       234.3087;      2513.8709;     0.052951
         4;      2.7;      0.0;           ;      -25.62856939;    -0.17652265;       119.2642;       708.8682;     0.112729
         5;      2.8;      0.1;           ;      -25.70051434;    -0.07194495;        93.9694;       607.1832;     0.027801
         6;      2.7;      0.0;           ;      -25.79157153;    -0.09105719;        81.8168;       415.4990;     0.087556
         7;      2.7;      0.0;           ;      -25.86432100;    -0.07274947;        50.5561;       365.2536;     0.065393
         8;      2.7;      0.0;           ;      -25.88035495;    -0.01603395;        63.0347;       344.0384;     0.048870
         9;      2.7;      0.0;           ;      -25.92660646;    -0.04625152;        43.4573;       291.7114;     0.043073
        10;      2.8;      0.0;           ;      -25.94114569;    -0.01453923;        58.4387;       250.2632;     0.041396
        11;      2.8;      0.0;           ;      -25.98352089;    -0.04237520;        38.6577;       200.3999;     0.055140
        12;      2.7;      0.0;           ;      -25.99697414;    -0.01345325;        49.9093;       258.5524;     0.055313
        13;      2.7;      0.0;           ;      -26.03186717;    -0.03489303;        32.5110;       145.6652;     0.048576
        14;      2.7;      0.0;           ;      -26.04191050;    -0.01004332;        42.6881;       197.8978;     0.043791
        15;      2.8;      0.0;           ;      -26.06640437;    -0.02449387;        29.6499;       151.5570;     0.048928
        16;      2.7;      0.0;           ;      -26.06870984;    -0.00230547;        37.8883;       294.2009;     0.020463
        17;      2.8;      0.0;           ;      -26.08656946;    -0.01785962;        26.9678;       121.9793;     0.040750
        18;      2.8;      0.1;           ;      -26.09284192;    -0.00627246;        38.2988;       311.1125;     0.042545
        19;      2.8;      0.0;           ;      -26.11089565;    -0.01805373;        25.1495;       107.1020;     0.046283
        20;      2.7;      0.0;           ;      -26.11588893;    -0.00499328;        32.9254;       205.0810;     0.040440
        21;      2.8;      0.0;           ;      -26.12958445;    -0.01369552;        22.3396;       102.5492;     0.045588
        22;      2.8;      0.1;           ;      -26.13258107;    -0.00299661;        29.5255;       151.4881;     0.034077
        23;      2.7;      0.0;           ;      -26.14344689;    -0.01086583;        20.6433;        95.8564;     0.030915
        24;      2.8;      0.0;           ;      -26.14657147;    -0.00312458;        27.9359;       116.8422;     0.027791
        25;      2.8;      0.0;           ;      -26.15699503;    -0.01042356;        19.2317;       100.1349;     0.042824
        26;      2.7;      0.1;           ;      -26.16049645;    -0.00350141;        24.6942;       111.0682;     0.043976
        27;      3.0;      0.0;           ;      -26.16864347;    -0.00814702;        18.4529;        93.5670;     0.031332
        28;      2.8;      0.0;           ;      -26.16924577;    -0.00060230;        22.4629;       131.8113;     0.011232
        29;      2.8;      0.0;           ;      -26.17566955;    -0.00642379;        17.2879;        73.0635;     0.051606
        30;      2.8;      0.0;           ;      -26.17605376;    -0.00038421;        20.1042;       112.7484;     0.017087
        31;      2.7;      0.1;           ;      -26.18239014;    -0.00633638;        15.2338;        62.6753;     0.021623
        32;      2.7;      0.0;           ;      -26.18301664;    -0.00062650;        18.9059;        93.2174;     0.009306
        33;      2.8;      0.0;           ;      -26.18864508;    -0.00562844;        13.8226;        57.2465;     0.036878
        34;      2.7;      0.0;           ;      -26.18970858;    -0.00106349;        19.2700;        85.4974;     0.025110
        35;      2.8;      0.1;           ;      -26.19494067;    -0.00523210;        12.8756;        70.1802;     0.023498
        36;      2.7;      0.0;           ;      -26.19654855;    -0.00160787;        16.7198;        72.1105;     0.022247
        37;      2.8;      0.0;           ;      -26.20112971;    -0.00458116;        12.0053;        38.4750;     0.041733
        38;      2.8;      0.0;           ;      -26.20201650;    -0.00088680;        16.5003;        69.9400;     0.028809
        39;      2.8;      0.1;           ;      -26.20604382;    -0.00402732;        12.2453;        46.1036;     0.021305
        40;      2.8;      0.0;           ;      -26.20673105;    -0.00068723;        16.5043;        68.4020;     0.013185
        41;      2.8;      0.0;           ;      -26.21063177;    -0.00390072;        12.0058;        46.4285;     0.045389
        42;      2.7;      0.0;           ;      -26.21141862;    -0.00078685;        15.4507;        74.9816;     0.032975
        43;      2.7;      0.0;           ;      -26.21519645;    -0.00377784;        13.1126;        48.3680;     0.026186
        44;      2.8;      0.1;           ;      -26.21540113;    -0.00020467;        15.6656;        73.6912;     0.007710
        45;      2.8;      0.0;           ;      -26.21944726;    -0.00404614;        12.5031;        43.0321;     0.060008
        46;      2.7;      0.0;           ;      -26.21988625;    -0.00043899;        16.0447;        63.0508;     0.029514
        47;      2.7;      0.0;           ;      -26.22399158;    -0.00410532;        11.4583;        48.7182;     0.027118
        48;      2.7;      0.1;           ;      -26.22466333;    -0.00067175;        15.1046;        73.7837;     0.016352
        49;      2.8;      0.0;           ;      -26.22806271;    -0.00339938;        11.2477;        39.3897;     0.048818
        50;      2.7;      0.0;           ;      -26.22840539;    -0.00034268;        14.6186;        49.2960;     0.021969
        51;      2.7;      0.0;           ;      -26.23140505;    -0.00299967;        11.1408;        42.4624;     0.017655
        52;      2.7;      0.1;           ;      -26.23276781;    -0.00136276;        16.1304;        79.9154;     0.022643
        53;      2.7;      0.0;           ;      -26.23651546;    -0.00374765;        13.9815;        99.3924;     0.078274
        54;      2.7;      0.0;           ;      -26.23654784;    -0.00003238;        15.2631;       125.1073;     0.009540
        55;      2.8;      0.0;           ;      -26.23973080;    -0.00318296;        11.9813;        49.9250;     0.024027
        56;      2.7;      0.0;           ;      -26.23977638;    -0.00004558;        13.1437;        60.8498;     0.003248
        57;      2.7;      0.1;           ;      -26.24243307;    -0.00265669;        10.4344;        56.1863;     0.045005
        58;      2.7;      0.0;           ;      -26.24301930;    -0.00058624;        14.7677;        74.6361;     0.036380
        59;      2.7;      0.0;           ;      -26.24623231;    -0.00321300;        11.0209;        56.5901;     0.025119
        60;      2.8;      0.0;           ;      -26.24724362;    -0.00101132;        15.1630;        76.6906;     0.024169
        61;      2.7;      0.1;           ;      -26.25121148;    -0.00396786;        12.4645;        77.4116;     0.085844
        62;      2.7;      0.0;           ;      -26.25154055;    -0.00032906;        16.5334;       106.2312;     0.040823
