# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.6;      0.0;           ;      -25.55380183;               ;               ;               ;             
         2;      2.7;      0.0;           ;      -25.55398147;    -0.00017964;       172.5118;       341.5178;     0.001335
         3;      2.6;      0.0;           ;      -25.55763854;    -0.00365707;        27.4075;        32.8072;     0.054517
         4;      2.6;      0.0;           ;      -25.55780278;    -0.00016425;        24.8368;        32.8175;     0.005217
         5;      2.6;      0.1;           ;      -25.55816383;    -0.00036105;        30.6205;        42.9431;     0.020868
         6;      2.6;      0.0;           ;      -25.55801846;     0.00014537;        53.4510;        81.5085;     0.022955
         7;      2.6;      0.0;           ;      -25.55818055;    -0.00016209;        35.4074;        51.9729;     0.017383
         8;      2.6;      0.0;           ;      -25.55846931;    -0.00028876;        33.4557;        47.3244;     0.029487
         9;      2.6;      0.1;           ;      -25.55865189;    -0.00018258;        14.3921;        19.0067;     0.010823
        10;      2.6;      0.0;           ;      -25.55866866;    -0.00001678;        18.1638;        29.7001;     0.004427
        11;      2.7;      0.0;           ;      -25.55873377;    -0.00006510;        14.6660;        21.8514;     0.005840
        12;      2.6;      0.0;           ;      -25.55883579;    -0.00010202;        16.3417;        21.4512;     0.020902
        13;      2.6;      0.1;           ;      -25.55890186;    -0.00006607;        19.7732;        23.0572;     0.013866
        14;      2.6;      0.0;           ;      -25.55896860;    -0.00006675;        14.7095;        16.7688;     0.006816
        15;      2.5;      0.0;           ;      -25.55906684;    -0.00009824;        21.3331;        31.0528;     0.023094
        16;      2.5;      0.0;           ;      -25.55917804;    -0.00011120;        14.4229;        21.3975;     0.018723
        17;      2.6;      0.0;           ;      -25.55926852;    -0.00009048;         9.0473;        13.7559;     0.038624
        18;      2.6;      0.2;           ;      -25.55929920;    -0.00003067;         8.7180;        11.0374;     0.006007
        19;      2.5;      0.0;           ;      -25.55930035;    -0.00000115;        10.5696;        13.2253;     0.001413
        20;      2.7;      0.0;           ;      -25.55932941;    -0.00002906;         6.8376;        11.0452;     0.007786
        21;      2.6;      0.0;           ;      -25.55934344;    -0.00001403;         7.6252;         9.8137;     0.010368
        22;      2.6;      0.1;           ;      -25.55935904;    -0.00001560;         3.5048;         4.5954;     0.005004
        23;      2.6;      0.0;           ;      -25.55936251;    -0.00000347;         2.9662;         4.2463;     0.003731
        24;      2.8;      0.0;           ;      -25.55936623;    -0.00000372;         1.8581;         2.8793;     0.003472
        25;      2.8;      0.0;           ;      -25.55936748;    -0.00000125;         1.4047;         1.8647;     0.003507
        26;      2.8;      0.1;           ;      -25.55936950;    -0.00000201;         0.5998;         0.9195;     0.004109
         1;      4.0;      0.0;           ;      -25.55380183;               ;               ;               ;             
         2;      4.1;      0.0;           ;      -25.57173329;    -0.01793146;       165.4703;       955.1612;     0.003814
         3;      3.9;      0.0;           ;      -25.90251044;    -0.33077715;        52.1496;       285.6521;     0.107380
         4;      3.9;      0.0;           ;      -25.95355573;    -0.05104529;        42.1145;       221.2001;     0.051065
         5;      4.1;      0.1;           ;      -25.97311042;    -0.01955469;        60.6396;       661.4516;     0.059461
         6;      3.9;      0.0;           ;      -26.02370120;    -0.05059078;        40.2297;       268.0437;     0.063366
         7;      4.0;      0.0;           ;      -26.02686158;    -0.00316038;        48.4591;       503.1454;     0.020318
         8;      3.8;      0.0;           ;      -26.06125660;    -0.03439502;        32.2389;       226.3135;     0.043979
         9;      3.9;      0.0;           ;      -26.07419090;    -0.01293430;        40.7011;       222.3124;     0.049488
        10;      4.0;      0.0;           ;      -26.10060528;    -0.02641438;        27.1597;       128.3424;     0.043475
        11;      3.9;      0.0;           ;      -26.10947387;    -0.00886859;        36.1429;       278.4910;     0.044023
        12;      3.9;      0.0;           ;      -26.12917093;    -0.01969706;        22.5267;        84.8690;     0.052848
        13;      3.9;      0.1;           ;      -26.13039046;    -0.00121953;        27.3430;       131.7945;     0.016965
        14;      3.9;      0.0;           ;      -26.14274208;    -0.01235162;        20.7270;        81.8904;     0.025358
        15;      3.8;      0.0;           ;      -26.15182581;    -0.00908373;        30.4394;       165.9209;     0.047395
        16;      3.9;      0.0;           ;      -26.16733599;    -0.01551019;        22.0760;        99.0332;     0.043446
        17;      3.9;      0.0;           ;      -26.16889218;    -0.00155619;        28.6864;       163.3705;     0.019087
        18;      4.1;      0.1;           ;      -26.18073934;    -0.01184716;        19.3767;        94.3347;     0.029386
        19;      4.0;      0.0;           ;      -26.18514189;    -0.00440255;        25.0564;       168.7144;     0.032033
        20;      4.0;      0.0;           ;      -26.19569672;    -0.01055482;        19.0361;        79.2195;     0.039734
        21;      4.1;      0.0;           ;      -26.19751847;    -0.00182176;        26.4298;       210.5798;     0.025297
        22;      3.9;      0.1;           ;      -26.20733743;    -0.00981896;        17.4152;        93.7792;     0.033129
        23;      4.0;      0.0;           ;      -26.20999835;    -0.00266092;        22.3565;       146.1191;     0.028735
        24;      3.9;      0.0;           ;      -26.21785752;    -0.00785917;        15.7291;        81.3849;     0.054264
        25;      4.0;      0.0;           ;      -26.21835551;    -0.00049799;        18.4658;       132.7997;     0.018714
        26;      4.0;      0.1;           ;      -26.22398958;    -0.00563407;        17.3212;       115.6131;     0.024179
        27;      3.8;      0.0;           ;      -26.22955938;    -0.00556981;        13.3722;        53.6395;     0.043283
        28;      3.9;      0.0;           ;      -26.23047113;    -0.00091175;        17.9322;        92.9049;     0.027073
        29;      3.9;      0.0;           ;      -26.23613028;    -0.00565914;        12.9727;        62.4567;     0.024526
        30;      4.0;      0.0;           ;      -26.23804994;    -0.00191967;        18.1778;        88.8701;     0.024982
        31;      3.8;      0.0;           ;      -26.24390034;    -0.00585039;        12.4896;        65.1061;     0.037530
        32;      3.9;      0.0;           ;      -26.24488543;    -0.00098509;        16.8697;        84.7644;     0.023121
        33;      3.9;      0.0;           ;      -26.24958429;    -0.00469885;        11.5127;        44.8485;     0.022417
        34;      4.0;      0.0;           ;      -26.25108090;    -0.00149661;        15.2355;        61.4424;     0.021683
        35;      4.0;      0.1;           ;      -26.25546499;    -0.00438409;        12.1627;        61.1498;     0.044541
        36;      3.9;      0.0;           ;      -26.25621324;    -0.00074825;        16.3851;        96.6021;     0.028562
        37;      3.8;      0.0;           ;      -26.26076869;    -0.00455545;        13.0486;        55.2358;     0.031295
        38;      4.0;      0.0;           ;      -26.26095287;    -0.00018417;        14.6917;        76.6890;     0.007739
        39;      3.9;      0.1;           ;      -26.26543037;    -0.00447750;        13.0046;        56.1490;     0.072154
        40;      3.9;      0.0;           ;      -26.26931964;    -0.00388928;        11.2563;        51.3681;     0.039633
        41;      3.9;      0.0;           ;      -26.27062900;    -0.00130936;        16.7553;        91.8963;     0.040722
        42;      3.8;      0.0;           ;      -26.27548432;    -0.00485532;        11.7562;        49.3855;     0.040296
        43;      4.0;      0.0;           ;      -26.27626379;    -0.00077947;        15.7817;        95.4018;     0.024168
        44;      4.0;      0.1;           ;      -26.28046906;    -0.00420526;        10.6964;        37.8445;     0.033556
        45;      3.9;      0.0;           ;      -26.28214020;    -0.00167114;        14.7949;        65.6029;     0.038873
        46;      4.0;      0.0;           ;      -26.28611069;    -0.00397050;        11.1445;        47.2846;     0.030325
        47;      4.0;      0.0;           ;      -26.28753824;    -0.00142755;        16.3201;        87.0707;     0.032343
        48;      3.8;      0.1;           ;      -26.29156602;    -0.00402777;        13.9626;       100.3795;     0.069401
        49;      3.9;      0.0;           ;      -26.29167266;    -0.00010664;        15.8791;       125.5580;     0.015000
        50;      4.0;      0.0;           ;      -26.29402223;    -0.00234958;        19.8384;       143.9446;     0.040352
        51;      4.0;      0.0;           ;      -26.29474370;    -0.00072147;        14.3253;        59.5663;     0.013259
        52;      4.0;      0.0;           ;      -26.29847259;    -0.00372889;        11.2360;        56.9110;     0.058626
        53;      4.0;      0.0;           ;      -26.29894236;    -0.00046977;        15.2420;       100.9548;     0.032205
        54;      4.0;      0.0;           ;      -26.30270005;    -0.00375770;        11.2905;        61.5033;     0.034561
        55;      3.9;      0.0;           ;      -26.30421156;    -0.00151150;        15.7227;        70.6142;     0.039990
        56;      4.0;      0.0;           ;      -26.30851850;    -0.00430694;        12.4746;        79.4633;     0.076319
        57;      4.0;      0.1;           ;      -26.30908898;    -0.00057049;        16.4423;       102.1054;     0.043839
        58;      4.0;      0.0;           ;      -26.31307047;    -0.00398149;        11.7380;        58.6746;     0.036243
