# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
        63;      2.9;      0.0;           ;      -26.20770193;    -0.00016985;        15.1952;        83.0095;     0.008082
        64;      2.9;      0.0;           ;      -26.21198674;    -0.00428481;        13.5968;        71.1129;     0.061872
        65;      2.9;      0.1;           ;      -26.21221476;    -0.00022802;        16.5563;       128.3737;     0.020125
        66;      2.9;      0.0;           ;      -26.21698043;    -0.00476568;        13.1008;        62.7888;     0.042060
        67;      3.0;      0.0;           ;      -26.21745633;    -0.00047590;        16.5423;        85.3470;     0.018237
        68;      2.8;      0.0;           ;      -26.22234419;    -0.00488786;        11.6921;        63.7429;     0.064745
        69;      2.8;      0.0;           ;      -26.22347271;    -0.00112852;        15.8298;        80.7371;     0.052643
        70;      2.8;      0.1;           ;      -26.22778037;    -0.00430766;        11.6745;        60.2354;     0.038620
        71;      3.1;      0.0;           ;      -26.22828155;    -0.00050118;        15.0453;        66.6575;     0.018550
        72;      2.9;      0.0;           ;      -26.23221270;    -0.00393115;        12.8931;        78.1425;     0.089020
        73;      2.9;      0.0;           ;      -26.23249231;    -0.00027960;        15.7957;       117.7010;     0.038063
        74;      2.9;      0.1;           ;      -26.23755910;    -0.00506679;        15.4594;        75.6505;     0.045434
        75;      2.9;      0.0;           ;      -26.23763900;    -0.00007990;        16.9869;        81.7737;     0.006543
        76;      2.8;      0.0;           ;      -26.24259103;    -0.00495202;        13.5637;        73.6240;     0.111654
        77;      2.8;      0.0;           ;      -26.24267180;    -0.00008077;        15.1222;        89.7791;     0.018652
        78;      2.9;      0.1;           ;      -26.24681598;    -0.00414418;        11.4645;        53.3424;     0.030532
        79;      2.8;      0.0;           ;      -26.24721196;    -0.00039598;        14.1375;        65.9426;     0.012869
        80;      2.9;      0.0;           ;      -26.25082756;    -0.00361560;        12.4502;        86.8356;     0.101310
        81;      2.9;      0.0;           ;      -26.25087946;    -0.00005190;        13.7746;       109.4781;     0.015907
        82;      2.9;      0.0;           ;      -26.25429761;    -0.00341815;        11.2465;        47.8374;     0.023536
        83;      2.9;      0.1;           ;      -26.25439205;    -0.00009444;        12.6018;        55.4306;     0.004626
        84;      2.9;      0.0;           ;      -26.25723353;    -0.00284148;         9.8464;        59.0126;     0.082359
        85;      2.9;      0.0;           ;      -26.25726469;    -0.00003115;        10.7249;        71.0460;     0.010252
        86;      2.8;      0.0;           ;      -26.25917669;    -0.00191200;         8.5178;        45.9475;     0.013797
        87;      2.8;      0.1;           ;      -26.25926016;    -0.00008347;        10.0214;        73.2229;     0.003551
        88;      3.0;      0.0;           ;      -26.26108037;    -0.00182022;         7.6480;        26.7016;     0.046541
        89;      2.8;      0.0;           ;      -26.26145243;    -0.00037205;        10.4504;        50.7194;     0.033984
        90;      2.9;      0.0;           ;      -26.26335954;    -0.00190711;         7.3269;        30.5567;     0.018808
        91;      2.9;      0.1;           ;      -26.26385200;    -0.00049247;         9.5004;        44.5219;     0.015610
        92;      2.8;      0.0;           ;      -26.26567972;    -0.00182771;         7.5564;        31.3992;     0.051635
        93;      2.9;      0.0;           ;      -26.26591695;    -0.00023724;        10.0631;        52.6301;     0.027769
        94;      3.0;      0.0;           ;      -26.26771508;    -0.00179813;         7.7228;        29.6274;     0.018751
        95;      2.8;      0.0;           ;      -26.26803165;    -0.00031657;         9.7986;        60.5493;     0.011878
        96;      2.8;      0.1;           ;      -26.26994772;    -0.00191606;         8.5783;        36.7413;     0.071681
        97;      2.8;      0.0;           ;      -26.26998191;    -0.00003419;         9.6281;        49.8082;     0.011666
        98;      2.9;      0.0;           ;      -26.27164581;    -0.00166391;         7.1908;        27.3311;     0.028204
        99;      2.9;      0.0;           ;      -26.27183685;    -0.00019104;         9.2628;        38.5816;     0.013353
       100;      2.8;      0.1;           ;      -26.27332854;    -0.00149168;         6.7141;        27.8246;     0.034234
       101;      2.9;      0.0;           ;      -26.27381125;    -0.00048271;         9.6045;        40.9741;     0.033945
       102;      2.8;      0.0;           ;      -26.27543114;    -0.00161989;         7.3061;        36.9944;     0.022348
       103;      3.1;      0.0;           ;      -26.27603110;    -0.00059996;        10.4325;        43.5791;     0.024208
       104;      2.8;      0.1;           ;      -26.27793827;    -0.00190718;         7.7511;        31.2898;     0.052221
       105;      2.8;      0.0;           ;      -26.27822084;    -0.00028256;        10.2263;        39.9138;     0.030519
       106;      3.0;      0.0;           ;      -26.28007539;    -0.00185456;         8.4280;        33.6934;     0.020412
       107;      2.9;      0.0;           ;      -26.28036604;    -0.00029065;        10.8570;        46.4786;     0.011926
       108;      3.0;      0.0;           ;      -26.28266973;    -0.00230369;         8.9323;        31.8549;     0.073074
       109;      2.8;      0.0;           ;      -26.28287058;    -0.00020085;        10.9998;        46.6152;     0.030700
       110;      2.8;      0.0;           ;      -26.28531154;    -0.00244096;         8.6378;        34.1731;     0.040818
       111;      2.9;      0.0;           ;      -26.28565461;    -0.00034307;        11.5220;        47.6146;     0.022150
       112;      2.9;      0.0;           ;      -26.28801968;    -0.00236506;         8.4965;        35.1179;     0.068762
       113;      3.0;      0.1;           ;      -26.28853103;    -0.00051135;        11.3348;        49.7272;     0.052682
       114;      2.9;      0.0;           ;      -26.29100086;    -0.00246983;         8.9044;        34.5797;     0.027464
       115;      2.9;      0.0;           ;      -26.29155961;    -0.00055876;        12.0639;        52.5084;     0.020781
       116;      2.8;      0.0;           ;      -26.29450152;    -0.00294191;         9.9750;        49.1475;     0.090621
       117;      2.9;      0.1;           ;      -26.29507453;    -0.00057301;        13.6895;        81.2679;     0.068052
       118;      2.8;      0.0;           ;      -26.29857642;    -0.00350189;        10.6126;        48.8192;     0.041058
       119;      2.9;      0.0;           ;      -26.29882474;    -0.00024832;        12.4363;        56.0861;     0.014294
       120;      2.9;      0.0;           ;      -26.30232640;    -0.00350166;        11.7769;        59.7770;     0.129553
       121;      2.9;      0.1;           ;      -26.30245209;    -0.00012568;        13.7944;        68.3372;     0.033196
       122;      2.8;      0.0;           ;      -26.30640898;    -0.00395689;        12.0486;        47.9399;     0.055246
       123;      3.0;      0.0;           ;      -26.30658049;    -0.00017151;        14.0633;        63.0435;     0.014251
       124;      2.8;      0.0;           ;      -26.31051749;    -0.00393700;        11.8743;        79.4034;     0.126573
       125;      2.8;      0.0;           ;      -26.31072357;    -0.00020608;        14.1719;       104.8744;     0.041230
       126;      3.0;      0.1;           ;      -26.31483207;    -0.00410849;        12.7847;        63.8979;     0.045365
       127;      2.9;      0.0;           ;      -26.31495764;    -0.00012557;        14.4933;        84.5711;     0.009487
