# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      3.4;      0.0;           ;      -25.48767742;               ;               ;               ;             
         2;      3.4;      0.0;           ;      -25.48769105;    -0.00001363;        47.7443;        87.4360;     0.000339
         3;      3.4;      0.0;           ;      -25.48807130;    -0.00038025;         9.5592;        11.9804;     0.019238
         4;      3.4;      0.0;           ;      -25.48809613;    -0.00002483;         8.2584;        11.9014;     0.002688
         5;      3.4;      0.1;           ;      -25.48812411;    -0.00002798;        12.5317;        12.7598;     0.007194
         6;      3.2;      0.0;           ;      -25.48816379;    -0.00003968;         9.8788;        13.0535;     0.009449
         7;      3.2;      0.0;           ;      -25.48816456;    -0.00000078;        11.2304;        14.3145;     0.001524
         8;      3.0;      0.0;           ;      -25.48819272;    -0.00002816;         6.1781;         8.0011;     0.005413
         9;      2.8;      0.1;           ;      -25.48819943;    -0.00000671;         6.2463;         7.5251;     0.004232
        10;      2.9;      0.0;           ;      -25.48821135;    -0.00001193;         4.8278;         6.4684;     0.003128
        11;      2.8;      0.0;           ;      -25.48822006;    -0.00000870;         8.7687;        11.4678;     0.005812
        12;      2.8;      0.0;           ;      -25.48823984;    -0.00001978;         7.1861;         8.8054;     0.006277
        13;      2.8;      0.1;           ;      -25.48825450;    -0.00001466;        11.6458;        15.3163;     0.011954
        14;      3.0;      0.0;           ;      -25.48828376;    -0.00002926;         5.6156;         9.0011;     0.011075
        15;      2.9;      0.0;           ;      -25.48828964;    -0.00000588;         4.8732;         7.6975;     0.007690
        16;      2.8;      0.0;           ;      -25.48829794;    -0.00000830;         3.5430;         5.1876;     0.003747
        17;      2.8;      0.0;           ;      -25.48830185;    -0.00000391;         5.2133;         8.1830;     0.004896
        18;      2.8;      0.1;           ;      -25.48830880;    -0.00000695;         1.8986;         2.5158;     0.005307
        19;      2.9;      0.0;           ;      -25.48830912;    -0.00000032;         2.0280;         2.7348;     0.001400
        20;      2.8;      0.0;           ;      -25.48831054;    -0.00000142;         1.4971;         1.8900;     0.001219
        21;      2.9;      0.0;           ;      -25.48831138;    -0.00000084;         2.2954;         3.7719;     0.001902
        22;      2.9;      0.1;           ;      -25.48831283;    -0.00000145;         0.9148;         1.3657;     0.001584
         1;      2.5;      0.0;           ;      -25.48767742;               ;               ;               ;             
