# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.7;      0.0;           ;   1.115509118e+06;               ;               ;               ;             
         2;      2.8;      0.0;           ;      503.21084958;  -1.115006e+06;    558026.6510;   7894718.9446;     0.274969
         3;      2.7;      0.0;           ;      502.54365782;    -0.66719175;    557141.8708;   7880796.8215;     0.000100
         4;      2.7;      0.0;           ;      499.88544671;    -2.65821111;    553621.1336;   7825367.5029;     0.000400
         5;      2.8;      0.1;           ;      489.41947994;   -10.46596677;    539828.2560;   7607742.6061;     0.001600
         6;      2.8;      0.0;           ;      450.10135815;   -39.31812179;    489047.2455;   6799376.3543;     0.006400
         7;      2.7;      0.0;           ;      326.69106673;  -123.41029143;    342313.5524;   4403391.9577;     0.025598
         8;      2.8;      0.0;           ;      114.98243401;  -211.70863271;    145875.1134;   2197370.8763;     0.102393
         9;      2.7;      0.1;           ;       54.14127615;   -60.84115786;     86057.6750;   1131737.0555;     0.113881
        10;      2.8;      0.0;           ;       26.79393806;   -27.34733809;     43719.7001;    532093.3632;     0.034946
        11;      2.7;      0.0;           ;       -0.55379147;   -27.34772953;     14955.4231;    217446.2321;     0.134945
        12;      2.7;      0.0;           ;       -3.21971183;    -2.66592035;     12734.4022;    184140.9629;     0.019693
        13;      2.7;      0.1;           ;      -10.54802919;    -7.32831736;      6824.1842;     95415.0567;     0.078772
        14;      2.7;      0.0;           ;      -16.29536416;    -5.74733498;      2426.9864;     27950.5923;     0.143835
        15;      2.8;      0.0;           ;      -17.25344700;    -0.95808283;      1821.6268;     20971.3716;     0.041424
        16;      2.7;      0.0;           ;      -18.93647039;    -1.68302339;       805.6243;      9765.3868;     0.155360
        17;      2.7;      0.0;           ;      -19.59620967;    -0.65973927;       603.5569;      6105.0582;     0.064472
        18;      2.7;      0.1;           ;      -20.44036096;    -0.84415130;       494.6053;      4290.6494;     0.129280
        19;      2.8;      0.0;           ;      -21.59151342;    -1.15115246;       411.9850;      4321.3927;     0.180183
        20;      2.7;      0.0;           ;      -21.74841418;    -0.15690076;       402.0501;      4320.2567;     0.034471
        21;      2.7;      0.0;           ;      -22.95705827;    -1.20864409;       338.1731;      3830.5137;     0.261529
        22;      2.7;      0.1;           ;      -23.68650527;    -0.72944700;       280.2225;      2941.1355;     0.243670
        23;      2.9;      0.0;           ;      -24.24426580;    -0.55776052;       180.7763;      1784.3698;     0.225477
        24;      2.9;      0.0;           ;      -24.63252487;    -0.38825907;       138.3722;      1083.9058;     0.201172
        25;      2.8;      0.0;           ;      -25.01192101;    -0.37939615;       108.1849;       890.0399;     0.253131
        26;      2.8;      0.1;           ;      -25.28620795;    -0.27428694;       105.3217;       819.9855;     0.263752
        27;      2.7;      0.0;           ;      -25.47318410;    -0.18697615;        79.9838;       489.4137;     0.217324
        28;      2.8;      0.0;           ;      -25.58485325;    -0.11166915;        60.5007;       461.9584;     0.111642
        29;      2.7;      0.0;           ;      -25.60265986;    -0.01780661;        73.2586;       548.8813;     0.065499
        30;      2.8;      0.0;           ;      -25.67220416;    -0.06954431;        54.1104;       411.1219;     0.088485
        31;      2.8;      0.1;           ;      -25.67413372;    -0.00192956;        60.3508;       462.6010;     0.017703
        32;      2.8;      0.0;           ;      -25.72297908;    -0.04884535;        41.9556;       392.8365;     0.059267
        33;      2.8;      0.0;           ;      -25.73636529;    -0.01338621;        50.1821;       400.4517;     0.051790
        34;      2.9;      0.0;           ;      -25.77737444;    -0.04100916;        38.0137;       363.7299;     0.077794
        35;      2.7;      0.1;           ;      -25.79075054;    -0.01337609;        51.5215;       336.0155;     0.076823
        36;      2.7;      0.0;           ;      -25.82502593;    -0.03427539;        38.3254;       313.9368;     0.080776
        37;      2.7;      0.0;           ;      -25.82796358;    -0.00293765;        46.1015;       312.4507;     0.031646
        38;      2.8;      0.0;           ;      -25.85116219;    -0.02319861;        36.3901;       311.7573;     0.044909
        39;      2.7;      0.0;           ;      -25.85787614;    -0.00671395;        45.2951;       355.8732;     0.040716
        40;      2.8;      0.0;           ;      -25.87973651;    -0.02186037;        34.4884;       315.3914;     0.056571
        41;      2.8;      0.0;           ;      -25.88934229;    -0.00960579;        41.9150;       298.3932;     0.070652
        42;      2.8;      0.0;           ;      -25.90864842;    -0.01930612;        30.6944;       240.4944;     0.054837
        43;      2.7;      0.0;           ;      -25.91214673;    -0.00349831;        37.9805;       267.0187;     0.035522
        44;      2.7;      0.1;           ;      -25.92846434;    -0.01631762;        26.1020;       212.3362;     0.037789
        45;      2.7;      0.0;           ;      -25.93355460;    -0.00509026;        32.2301;       190.1637;     0.036110
        46;      2.7;      0.0;           ;      -25.94889233;    -0.01533772;        25.5175;       173.2399;     0.046519
        47;      2.8;      0.0;           ;      -25.95772696;    -0.00883463;        36.5431;       237.4486;     0.072402
        48;      2.8;      0.1;           ;      -25.97585474;    -0.01812779;        24.8555;       148.4771;     0.050997
        49;      2.7;      0.0;           ;      -25.97858257;    -0.00272782;        30.3027;       214.2255;     0.029400
        50;      2.7;      0.0;           ;      -25.99112937;    -0.01254680;        21.2414;       121.9287;     0.069017
        51;      2.7;      0.0;           ;      -25.99199400;    -0.00086464;        24.8271;       163.1366;     0.024602
        52;      2.8;      0.1;           ;      -26.00250896;    -0.01051496;        21.5837;       158.4835;     0.057052
        53;      2.7;      0.0;           ;      -26.00290942;    -0.00040046;        25.1295;       181.6471;     0.013557
        54;      2.7;      0.0;           ;      -26.01359025;    -0.01068083;        17.7329;        83.2732;     0.066743
        55;      2.8;      0.0;           ;      -26.01548628;    -0.00189603;        22.5786;       114.1170;     0.044229
        56;      2.8;      0.0;           ;      -26.02545875;    -0.00997247;        17.7417;        90.0208;     0.055939
        57;      2.7;      0.1;           ;      -26.02693570;    -0.00147695;        22.9833;       146.8995;     0.031427
        58;      2.7;      0.0;           ;      -26.03660769;    -0.00967199;        15.9863;        97.9378;     0.073043
        59;      2.7;      0.0;           ;      -26.03797428;    -0.00136659;        20.9683;        95.8906;     0.040309
        60;      2.7;      0.0;           ;      -26.04548521;    -0.00751093;        14.8681;        85.4831;     0.048941
        61;      2.8;      0.1;           ;      -26.04702858;    -0.00154337;        20.5150;       136.0221;     0.034455
        62;      2.8;      0.0;           ;      -26.05340006;    -0.00637148;        13.7530;        53.8915;     0.036709
        63;      2.7;      0.0;           ;      -26.05519808;    -0.00179802;        18.5144;        80.9589;     0.032527
        64;      2.7;      0.0;           ;      -26.06092635;    -0.00572827;        13.9006;        76.6043;     0.030137
        65;      2.7;      0.1;           ;      -26.06329400;    -0.00236764;        20.4000;       126.7063;     0.036104
