# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.5;      0.0;           ;   1.217664469e+06;               ;               ;               ;             
         2;      2.5;      0.0;           ;        0.17826773;  -1.217664e+06;     19646.8886;    266037.8454;     0.274969
         3;      2.5;      0.0;           ;        0.17811198;    -0.00015575;     19646.5633;    266032.5030;     0.000001
         4;      2.6;      0.0;           ;        0.17748903;    -0.00062296;     19645.2618;    266011.1349;     0.000003
         5;      2.5;      0.1;           ;        0.17499770;    -0.00249133;     19640.0574;    265925.6813;     0.000013
         6;      2.5;      0.0;           ;        0.16504051;    -0.00995719;     19619.2633;    265584.1732;     0.000050
         7;      2.5;      0.0;           ;        0.12534148;    -0.03969903;     19536.4619;    264223.0218;     0.000201
         8;      2.5;      0.0;           ;       -0.03139768;    -0.15673915;     19211.1952;    258855.6788;     0.000803
         9;      2.5;      0.1;           ;       -0.62658805;    -0.59519037;     18001.5287;    238570.6030;     0.003211
        10;      2.5;      0.0;           ;       -2.56405702;    -1.93746897;     14418.2241;    173473.6488;     0.012842
        11;      2.5;      0.0;           ;       -5.91441832;    -3.35036130;     10967.1427;    108315.8420;     0.051368
        12;      2.5;      0.0;           ;       -0.87635002;     5.03806830;     18719.7322;    185561.6837;     0.163296
        13;      2.5;      0.1;           ;       -6.14110792;    -5.26475790;     11612.5555;    118357.4815;     0.136235
        14;      2.6;      0.0;           ;      -13.66347336;    -7.52236544;      5086.2063;     49130.7274;     0.071129
        15;      2.7;      0.0;           ;      -17.05770278;    -3.39422942;      3024.0609;     32670.1900;     0.095609
        16;      2.5;      0.0;           ;      -19.24376596;    -2.18606319;      1803.8063;     18411.5536;     0.061275
        17;      2.5;      0.0;           ;      -20.90297876;    -1.65921280;      1357.0143;     15468.1301;     0.108212
        18;      2.5;      0.1;           ;      -21.96775946;    -1.06478070;       780.1995;      7666.3562;     0.081448
        19;      2.6;      0.0;           ;      -22.61786460;    -0.65010514;       602.6272;      5131.1482;     0.103733
        20;      2.5;      0.0;           ;      -23.43133427;    -0.81346967;       406.0838;      3413.8544;     0.105071
        21;      2.5;      0.0;           ;      -23.92848921;    -0.49715494;       355.9995;      3956.4287;     0.111020
        22;      2.6;      0.0;           ;      -24.61269966;    -0.68421045;       206.2270;      1919.3725;     0.219147
        23;      2.5;      0.0;           ;      -24.98835742;    -0.37565776;       135.0614;       847.9326;     0.198700
        24;      2.5;      0.0;           ;      -24.98904922;    -0.00069179;       135.1080;       846.4543;     0.000892
        25;      2.5;      0.0;           ;      -25.23410723;    -0.24505802;        82.4056;       447.2837;     0.152973
        26;      2.5;      0.1;           ;      -25.24823767;    -0.01413043;        83.4743;       462.8587;     0.022179
        27;      2.6;      0.0;           ;      -25.39741883;    -0.14918116;        64.0037;       435.6826;     0.155341
        28;      2.5;      0.0;           ;      -25.40603313;    -0.00861430;        66.2697;       433.8456;     0.019495
        29;      2.5;      0.0;           ;      -25.52892299;    -0.12288986;        62.5649;       413.9059;     0.168297
        30;      2.5;      0.0;           ;      -25.62055599;    -0.09163299;        58.4516;       476.3218;     0.142474
        31;      2.5;      0.1;           ;      -25.62363589;    -0.00307990;        64.8951;       508.6171;     0.027737
        32;      2.5;      0.0;           ;      -25.67137160;    -0.04773571;        61.1786;       353.9208;     0.097787
        33;      2.5;      0.0;           ;      -25.67216175;    -0.00079015;        55.6856;       328.7805;     0.011110
        34;      2.5;      0.0;           ;      -25.70815482;    -0.03599307;        40.1797;       304.4804;     0.037008
        35;      2.5;      0.1;           ;      -25.71879153;    -0.01063670;        47.2042;       293.2035;     0.033929
        36;      2.5;      0.0;           ;      -25.75053189;    -0.03174036;        38.1945;       273.1613;     0.055523
        37;      2.5;      0.0;           ;      -25.76378836;    -0.01325647;        53.3186;       358.9109;     0.067704
        38;      2.5;      0.0;           ;      -25.79712181;    -0.03333345;        36.0635;       218.7939;     0.077430
        39;      2.5;      0.1;           ;      -25.80090781;    -0.00378600;        43.3693;       367.3363;     0.036437
        40;      2.5;      0.0;           ;      -25.82447620;    -0.02356839;        31.3875;       179.3449;     0.041920
        41;      2.5;      0.0;           ;      -25.83512180;    -0.01064560;        40.3586;       194.4090;     0.053036
        42;      2.5;      0.0;           ;      -25.85874817;    -0.02362637;        28.2642;       170.3182;     0.053778
        43;      2.5;      0.0;           ;      -25.86432877;    -0.00558060;        36.1809;       285.0008;     0.042383
        44;      2.5;      0.1;           ;      -25.88033947;    -0.01601071;        27.5350;       166.8713;     0.037353
        45;      2.5;      0.0;           ;      -25.88149179;    -0.00115231;        33.7627;       324.8579;     0.013079
        46;      2.6;      0.0;           ;      -25.89416493;    -0.01267314;        23.3553;       138.5770;     0.025866
        47;      2.5;      0.0;           ;      -25.89919852;    -0.00503359;        29.1536;       165.2488;     0.029680
        48;      2.5;      0.1;           ;      -25.91074726;    -0.01154874;        21.1507;       152.5086;     0.032175
        49;      2.5;      0.0;           ;      -25.91583491;    -0.00508766;        28.2520;       152.9808;     0.040662
