# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.7;      0.0;           ;   1.571105421e+06;               ;               ;               ;             
         2;      2.8;      0.0;           ;     1282.08908968;  -1.569823e+06;   1972192.9898;   2.723939e+07;     0.274969
         3;      2.8;      0.0;           ;     1279.94791660;    -2.14117309;   1968215.2076;   2.718329e+07;     0.000122
         4;      2.8;      0.0;           ;     1271.42436097;    -8.52355563;   1952399.1222;   2.696027e+07;     0.000486
         5;      2.8;      0.1;           ;     1237.97828739;   -33.44607358;   1890627.7759;   2.608977e+07;     0.001946
         6;      2.8;      0.0;           ;     1113.95405119;  -124.02423620;   1665757.7363;   2.292871e+07;     0.007783
         7;      2.8;      0.0;           ;      741.88769290;  -372.06635829;   1035944.0784;   1.416033e+07;     0.031132
         8;      2.7;      0.0;           ;      172.71479196;  -569.17290095;    235662.3886;   3281699.0591;     0.124530
         9;      2.8;      0.1;           ;      144.51907325;   -28.19571871;    201316.5841;   2843958.2373;     0.015995
        10;      2.8;      0.0;           ;      111.54226688;   -32.97680637;    158029.4370;   2223938.3857;     0.022148
        11;      2.7;      0.0;           ;       34.82786959;   -76.71439729;     62256.2335;    860995.7372;     0.088593
        12;      2.9;      0.0;           ;        3.28007023;   -31.54779936;     26009.7946;    356118.2179;     0.088083
        13;      2.9;      0.1;           ;       -2.93465057;    -6.21472080;     19259.9687;    263194.5827;     0.031784
        14;      2.8;      0.0;           ;      -15.50866192;   -12.57401136;      6007.5763;     81652.5968;     0.127135
        15;      2.7;      0.0;           ;      -17.15010033;    -1.64143841;      4281.2642;     58129.8796;     0.037612
        16;      2.8;      0.0;           ;      -18.32965568;    -1.17955535;      3034.4540;     41236.6546;     0.036106
        17;      2.8;      0.0;           ;      -20.29941435;    -1.96975867;       736.1741;      9021.0380;     0.144424
        18;      2.8;      0.1;           ;      -20.33840739;    -0.03899303;       668.4219;      7893.3067;     0.010349
        19;      2.7;      0.0;           ;      -20.50376061;    -0.16535323;       554.9636;      6094.7138;     0.017142
        20;      2.7;      0.0;           ;      -20.93658235;    -0.43282174;       324.7967;      4406.4852;     0.068566
        21;      2.7;      0.0;           ;      -21.14026384;    -0.20368149;       329.5510;      3177.1277;     0.109977
        22;      2.8;      0.1;           ;      -21.31630262;    -0.17603878;       454.6229;      6027.3566;     0.088035
        23;      2.8;      0.0;           ;      -21.31344229;     0.00286034;       450.8310;      5932.5243;     0.015290
        24;      2.7;      0.0;           ;      -21.31728984;    -0.00384755;       502.7161;      7032.0084;     0.011654
        25;      2.8;      0.0;           ;      -21.44750038;    -0.13021054;       347.5639;      4922.5156;     0.092336
        26;      2.7;      0.1;           ;      -21.28077586;     0.16672452;       818.8938;     11127.1579;     0.140601
        27;      2.8;      0.0;           ;      -21.45550683;    -0.17473097;       403.3651;      5693.9261;     0.115723
        28;      2.7;      0.0;           ;      -21.66378776;    -0.20828093;       210.5069;      2455.1786;     0.070739
        29;      2.8;      0.0;           ;      -21.70749875;    -0.04371100;       260.5490;      3051.2069;     0.078881
        30;      2.7;      0.0;           ;      -21.85660916;    -0.14911041;       173.1104;      1748.4678;     0.065208
        31;      2.7;      0.1;           ;      -21.88923019;    -0.03262103;       219.0082;      2847.3753;     0.052828
        32;      2.7;      0.0;           ;      -22.02009340;    -0.13086321;       207.9707;      2726.1021;     0.056837
        33;      2.7;      0.0;           ;      -22.25751195;    -0.23741855;       218.8671;      2599.4539;     0.125167
        34;      2.7;      0.0;           ;      -22.29502705;    -0.03751510;       352.4316;      3638.4397;     0.274969
        35;      2.7;      0.1;           ;      -22.46357797;    -0.16855092;       272.0024;      3133.8030;     0.130619
        36;      2.8;      0.0;           ;      -22.81739246;    -0.35381449;       312.5618;      3672.8241;     0.233660
        37;      2.8;      0.0;           ;      -23.38155774;    -0.56416528;       272.3265;      3304.0653;     0.251248
        38;      2.7;      0.0;           ;      -23.84609927;    -0.46454153;       377.4739;      5035.7396;     0.274969
        39;      2.8;      0.1;           ;      -23.85769746;    -0.01159819;       233.4351;      2705.4674;     0.077041
        40;      2.8;      0.0;           ;      -23.87357910;    -0.01588164;       270.1316;      2851.9819;     0.035410
        41;      2.8;      0.0;           ;      -24.33126341;    -0.45768432;       194.4037;      2046.4316;     0.201569
        42;      2.7;      0.0;           ;      -24.72960093;    -0.39833752;       153.3156;      1484.5732;     0.208627
        43;      2.7;      0.0;           ;      -25.18580889;    -0.45620796;       133.4878;      1561.8376;     0.239702
        44;      2.7;      0.1;           ;      -25.42042056;    -0.23461167;       111.9942;       922.2082;     0.265002
        45;      2.7;      0.0;           ;      -25.59132577;    -0.17090522;        76.9891;       834.4744;     0.219694
        46;      2.7;      0.0;           ;      -25.74158900;    -0.15026323;        53.6104;       398.0936;     0.242348
        47;      2.8;      0.0;           ;      -25.79597182;    -0.05438282;        66.8076;       368.6637;     0.178094
        48;      2.8;      0.2;           ;      -25.79878765;    -0.00281583;        54.6555;       320.3456;     0.032441
        49;      2.7;      0.0;           ;      -25.83867419;    -0.03988654;        37.3936;       287.7712;     0.081040
        50;      2.8;      0.0;           ;      -25.84822190;    -0.00954771;        46.4351;       279.1621;     0.064457
